报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业收入(万元),28376,93407,76291,59817,35683,86966,74598,51671,17680,73685,50707,30299,12232,60389,43972,32112,18694,83279,55818,37245,20469,75283,52852,37509,16910,60887,41161,18183,6994,59160,42469,27193,11564,62332,46543,28012,10822,63977,42592,28831,12593,65095,41512,24008,59441,29126,56428,43755,42046,
营业成本(万元),17600,57612,46425,35709,21134,55371,44861,31210,11453,47149,33325,20805,8942,45365,34028,24153,13309,54466,34866,23187,13038,47037,32413,23880,10296,40901,28186,13380,5210,40264,29127,18663,7816,41702,31102,19380,7304,43699,29991,21533,9756,44287,27049,15422,38321,18130,33395,28553,25810,
营业利润(万元),6665,17673,17308,15322,9999,12340,12133,8303,1831,5170,5075,1147,-1115,-3473,-2073,87,896,6321,6506,4419,3099,9381,7180,4930,2386,2889,912,-2411,-1625,1466,880,209,407,2065,1263,23,-744,3380,410,-787,-1051,4366,3649,1853,5167,2789,7973,3622,5628,
利润总额(万元),6669,17754,17357,15377,10037,12224,12105,8286,1826,5158,5512,1447,-964,-2860,-1539,103,1057,7108,6579,4472,3374,10504,7871,5352,2602,4030,1688,-1725,-1394,2772,1604,645,614,3359,2288,600,-361,4327,1308,-115,-814,6222,4748,2471,8388,5451,12494,3717,5743,
所得税费用(万元),862,1927,2548,2421,1841,1676,1796,1398,334,528,1102,152,-170,-831,-744,-258,237,1011,553,530,382,935,1156,834,337,417,30,-265,-230,285,143,34,229,281,363,65,-17,563,57,-31,-138,868,682,344,934,653,1671,789,282,
净利润(万元),5807,15827,14808,12956,8196,10548,10309,6888,1492,4630,4410,1295,-794,-2029,-795,361,821,6097,6026,3942,2992,9569,6715,4518,2264,3613,1659,-1460,-1164,2487,1461,611,385,3079,1925,535,-343,3764,1251,-84,-676,5354,4066,2128,7454,4798,10823,2928,5461,
基本每股收益,0.13,0.36,0.35,0.31,0.2,0.26,0.25,0.17,0.04,0.11,0.11,0.03,-0.02,-0.05,-0.02,0.01,0.02,0.15,0.15,0.1,0.15,0.47,0.32,0.22,0.11,0.18,0.09,-0.07,-0.05,0.13,0.08,0.04,0.02,0.15,0.1,0.03,-0.02,0.19,0.09,-0,-0.06,0.65,0.53,0.28,0.99,0.64,1.42,0.39,0.73,
货币资金(万元),25349,18795,22665,29998,29689,15534,17996,17099,13871,14869,18024,12984,10480,14816,5858,6792,10893,8471,6974,6282,9209,11577,8970,6734,5603,10203,10246,6470,4410,3443,5402,3729,14905,16909,17800,13270,14316,16464,16934,17687,20804,22701,37273,3188,4884,3503,2360,3454,1593,
应收账款(万元),35183,31452,37715,34768,33942,30749,42661,43649,34878,36063,38768,42467,37792,36396,44720,45615,45717,48642,46051,44669,38196,36988,37217,37757,37584,33063,33455,31415,28471,38309,34237,35532,30220,33370,33572,34194,33612,34981,30030,28855,25792,28676,21775,21788,22593,21173,17334,13600,11081,
存货(万元),43681,47919,38188,29728,31434,38259,33010,30862,35298,30637,27734,25641,23590,21369,22821,23061,25481,28379,34828,32242,32164,30658,31807,30243,29600,29620,33360,35769,32199,26764,27243,26868,27747,26688,28630,29585,29375,25350,28403,25731,24469,20842,23878,23102,17988,19483,16141,14379,8938,
流动资产合计(万元),120823,116508,118770,117771,117181,100563,99300,95190,87063,85304,89343,85838,77429,79226,79437,80256,85275,89695,92203,86385,84379,84356,83303,79270,77637,78245,84827,80321,73066,72997,73972,73857,79405,82392,83894,81214,81731,80226,80626,76650,75158,79074,90622,54495,50148,49084,49981,36662,26261,
固定资产净额(万元),--,28003,--,29275,--,29949,--,30375,--,32110,--,32855,--,34591,35375,36293,37105,38118,38865,39803,40751,41696,42048,42714,43563,44486,44143,44680,45538,46385,44718,43534,44278,44921,34979,35550,36278,37013,31724,31073,31347,22201,21898,22472,23576,22115,22680,27498,21979,
资产总计(万元),178051,172084,170683,170498,170986,155530,147011,143216,135837,135033,139434,137037,129759,132336,135140,136762,141820,147351,150051,144487,143636,139586,139233,136198,135081,136698,141982,138784,132368,132598,134490,132775,138208,139881,140629,137360,137792,135255,133608,129688,127517,128585,136040,97993,93595,86703,86256,76857,59823,
