报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业收入(万元),26437,110716,80240,51417,27957,115620,90754,67908,34330,143020,127946,82111,40834,172746,121730,77910,36848,134862,86704,56844,5420,18148,14581,9856,7255,22619,25233,23081,9716,60936,43813,32168,13207,82878,53823,42638,18427,47883,18561,12337,5884,23555,11018,18384,13172,10094,
营业成本(万元),20417,85996,58235,37301,21764,94393,73855,54408,26031,106226,96296,61057,30032,128526,88435,56053,26128,102654,62510,43686,3698,12214,9985,6279,4630,14355,15822,14322,5900,41096,28922,21472,8854,61091,38978,31305,14077,34438,11239,7406,3549,13963,6463,11228,7876,6741,
营业利润(万元),-557,-11303,-3461,-4129,-1643,-21576,-6388,-2680,-1886,1048,2640,2214,1348,2384,2984,3315,1612,1189,4377,711,162,-4159,-593,-647,577,-1532,1595,2714,1228,7162,6273,4957,1900,11768,7772,6740,2372,8946,4440,3189,1382,6230,2836,4383,3668,1891,
利润总额(万元),-557,-9854,-3450,-4118,-1632,-21359,-6204,-2577,-1829,1565,2979,2496,1631,3288,2994,3315,1727,1790,4416,1099,397,2155,-58,-200,653,710,2800,3801,1417,9042,6627,5261,1936,13093,8145,6849,2410,10703,5452,4120,1457,7347,3372,5084,3903,1947,
所得税费用(万元),-31,-3102,-1082,-758,-34,-758,-800,-439,-21,-285,1102,867,508,1017,1009,1654,474,349,1962,-71,43,613,-201,-630,36,-373,-39,641,337,1652,1284,954,429,2965,1957,1660,550,1887,710,519,198,745,367,508,481,-23,
净利润(万元),-526,-6752,-2369,-3361,-1598,-20602,-5405,-2138,-1809,1849,1877,1629,1123,2271,1985,1661,1253,1441,2454,1170,354,1542,143,431,618,1083,2839,3160,1080,7390,5343,4307,1508,10128,6188,5188,1860,8816,4742,3601,1259,6602,3005,4577,3422,1970,
基本每股收益,-0.02,-0.26,-0.09,-0.12,-0.05,-0.68,-0.19,-0.08,-0.07,0.06,0.05,0.05,0.04,0.06,0.05,0.04,0.03,0.03,0.08,0.04,0.01,0.06,0.01,0.02,0.02,0.04,0.11,0.12,0.04,0.27,0.2,0.24,0.08,0.56,0.34,0.29,0.21,1.02,0.76,0.66,0.26,1.47,0.67,1.02,0.76,0.44,
货币资金(万元),41208,35198,27177,32989,31926,44083,31155,35775,31538,37321,26067,29974,39846,42678,38399,32863,35287,42965,40013,41485,16858,55377,18203,5086,16718,19625,30241,36822,53600,41948,18877,20141,20503,30413,28503,34809,49109,25449,41102,55310,43153,11097,9340,6058,3847,212,
应收账款(万元),21057,22208,22682,24235,26305,32132,28915,29250,36722,42806,42481,41922,43082,40593,39977,43322,41751,48009,44313,46260,24916,25149,27410,27517,30518,27994,36312,41433,33019,26930,27700,25857,21410,19474,21252,19159,17257,12347,12057,7777,8442,6934,6246,5995,4215,2147,
存货(万元),40076,39416,42969,39672,39583,37177,44811,43896,64163,51464,62225,59140,52807,51178,62248,64152,58463,51826,132744,119166,8107,7838,7719,5943,5425,6282,6081,6038,7144,9382,10648,8783,8339,5998,6224,6384,5256,7224,4867,4980,4293,4654,4072,3952,5463,3933,
流动资产合计(万元),121086,115680,115818,118422,116926,131028,138990,139878,142768,139275,137299,137670,142920,144282,151827,149735,147314,156554,228374,216047,160873,98177,63344,47335,128626,130402,93786,104825,117687,112301,116031,116227,119735,118404,114002,118685,131265,94576,68266,76466,64023,29921,24034,18691,15327,8762,
固定资产净额(万元),--,22082,--,23575,--,25096,--,25161,--,25881,--,26257,--,26139,26825,26610,27396,27790,25916,26208,15001,15272,15554,15644,15797,16061,15937,15976,15908,8971,6831,6933,6818,6712,6226,2330,2357,2363,2408,2460,2512,2528,2636,2705,2842,1708,
资产总计(万元),216418,211327,213797,219693,218126,227800,232438,234040,236832,233990,228908,230052,232317,237256,247216,242835,240394,250950,311534,300122,181851,119444,87580,97996,178275,180058,199513,209945,222005,216139,189206,180467,171235,169853,153620,152135,142913,105961,97869,84279,71787,37705,31829,26408,18729,11090,
流动负债合计(万元),102250,97662,67381,65957,61972,74412,75065,76733,88116,80839,81587,111464,119105,121312,126896,133161,130266,139818,216014,207326,111859,50995,20548,30647,108056,110868,128603,138871,143457,138614,113382,106820,98675,98771,86160,85704,78010,42918,39949,27500,16151,17515,15239,12762,10020,5804,
非流动负债合计(万元),65853,61980,80596,86857,84755,78429,66874,62804,55634,57440,52520,22688,21404,21444,22819,21300,19794,21219,13234,11905,2055,2126,2182,2253,2213,1846,1890,1733,1806,1863,2210,1069,981,1011,1300,1300,1300,1300,300,300,300,300,300,360,0,0,
负债合计(万元),168103,159641,147978,152814,146727,152841,141938,139537,143750,138278,134108,134152,140509,142756,149715,154461,150060,161037,229248,219231,113914,53121,22730,32900,110270,112714,130493,140605,145264,140478,115591,107889,99656,99782,87460,87004,79310,44218,40249,27800,16451,17815,15539,13122,10020,5804,
所有者权益(或股东权益)合计(万元),48315,51686,65819,66879,71400,74959,90499,94502,93082,95712,94801,95900,91809,94500,97501,88374,90334,89913,82286,80890,67937,66324,64850,65096,68006,67344,69020,69341,76741,75661,73614,72578,71579,70071,66160,65131,63603,61743,57620,56478,55336,19890,16290,13286,8709,5287,
期初现金及现金等价物余额(万元),21797,33330,33330,33330,33330,26124,26124,26124,26124,25886,25884,25884,25886,17527,17527,17527,40738,40738,40738,40738,40738,1585,1585,1585,1585,9382,9382,9382,9382,21650,21650,21650,21650,23469,23469,23469,23469,8576,8576,8576,8576,5386,5386,2970,12,154,
经营活动产生的现金流量净额(万元),-4284,-5649,-13315,-11178,-3065,5407,-629,3114,2244,-2295,-12470,-4442,-6344,27755,29395,4470,4514,-8400,1718,-6419,4052,28861,28783,7913,456,4281,3692,7831,4357,9836,9794,4438,4023,-27833,-19209,-16501,-16128,-37086,-5295,318,-2477,4269,3612,2637,2987,1851,
投资活动产生的现金流量净额(万元),-185,-2792,-707,-643,-152,-446,-376,-376,-173,-1720,-1600,-1040,-159,-1306,-745,-783,19,-72153,-82789,-81773,-104453,-12889,-12935,-68,-37,-2026,-1760,-1648,-1290,-5125,-2378,-2240,-181,-1715,-1387,-1161,-455,-2968,-21993,-164,-50,-346,-234,-4530,-937,-143,
筹资活动产生的现金流量净额(万元),5549,771,-4508,465,-9094,1358,-3904,-4693,-8381,4807,-10891,-6719,-686,-17951,-21604,-14056,-11563,51106,51323,60969,61965,22974,-14047,-9014,421,-10061,-6392,-14202,-5576,-16979,-23604,-12353,-14091,27729,23258,24853,37367,54946,55366,42861,34410,-732,-178,4309,907,-1849,
