报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业收入(万元),11792,81731,67541,38713,14198,78790,48062,28110,9697,72377,46059,29478,13752,62671,37062,22275,9570,41866,25384,17324,8652,50261,31828,21801,9116,54187,28577,19542,7806,41192,21366,15031,6451,37559,22326,15599,4700,33473,17788,11966,3292,24390,10166,16190,10945,9885,
营业成本(万元),8091,58225,45659,24716,9434,48673,30717,18516,7338,45235,29539,18819,8640,40374,24882,15112,6943,29026,17297,11525,6010,34290,21262,14962,6502,37266,19555,12932,5258,26907,14044,9936,4685,24754,14671,9984,3284,22746,11811,7634,2204,15996,6251,10533,8314,8184,
营业利润(万元),-1993,-29866,2895,1998,522,9729,3381,2006,-1479,4619,1336,992,801,2446,1070,787,664,1817,991,1552,30,3700,2394,1138,199,5650,1847,1546,349,5610,1706,1467,13,5385,2285,1891,104,5304,2255,1887,181,4587,2103,3815,1560,818,
利润总额(万元),-1991,-34953,2892,1995,526,9517,3370,1997,-1487,4611,1329,987,802,2431,1060,782,658,1813,1026,1552,373,4298,2684,1484,425,6412,2396,2095,563,6316,2286,2008,554,6085,2802,2388,519,5924,2627,2161,410,5351,2268,4031,1700,834,
所得税费用(万元),82,4472,215,124,86,45,518,348,-75,172,98,44,85,280,126,87,111,233,164,229,17,294,282,245,85,585,471,389,65,491,206,161,66,716,424,352,70,944,386,295,40,866,592,497,214,103,
净利润(万元),-2073,-39426,2677,1870,440,9472,2852,1649,-1412,4438,1231,943,717,2151,934,695,547,1580,862,1323,356,4005,2402,1239,340,5827,1925,1706,498,5825,2080,1847,488,5369,2378,2036,449,4980,2241,1867,370,4485,1677,3534,1486,730,
基本每股收益,-0.04,-0.65,0.03,0.02,0,0.14,0.03,0.02,-0.03,0.08,0.02,0.02,0.02,0.06,0.03,0.02,0.02,0.06,0.04,0.05,0.01,0.1,0.06,0.04,0.01,0.17,0.07,0.13,0.04,0.42,0.16,0.14,0.04,0.39,0.18,0.15,0.07,0.77,0.35,0.3,0.07,0.88,0.33,0.73,0.64,0.59,
货币资金(万元),21797,41476,23828,27170,20039,38385,16305,12288,12720,28589,7817,11265,13960,19580,14144,14137,11624,18729,8906,17486,14009,26653,16628,17961,22902,31639,25600,41258,4876,13832,4078,9068,12264,17013,9676,11146,15379,26464,14820,19602,20361,12168,3946,7519,1837,418,
应收账款(万元),47299,46651,68968,60548,53686,51932,60801,58665,54825,51742,57281,52507,53219,50537,49678,47446,47033,45168,46237,45553,48965,45139,48952,45021,41618,41794,40890,41128,35407,32549,29642,28341,25598,25303,22202,19126,12521,13229,13010,11971,7755,5738,6808,3475,3493,3078,
存货(万元),27761,24871,18296,15901,16728,12611,12862,12050,11307,9220,10604,10420,11312,8846,8907,7832,2826,3177,4290,3858,3653,4452,5323,4715,5001,4761,5310,4735,4389,4130,5231,4116,3395,3346,5345,4318,3794,2427,4524,2746,2125,1295,1196,1129,200,542,
